Index,Number,Name,Type-1,Type-2,Total,HP,Attack,Defense,Sp-Atk,Sp-Def,Speed,Egg-Group-1,Egg-Group-2,Experience-type,XP-Mult,HP-base,HP/Nv,FOR,DES,CON,INT,SAB,CAR,Armor
73,055,Golduck,WATER,,500,80,82,78,95,80,85,Water-1,Field,Medium-Fast,5,17,5,11,11,10,12,10,3d4,6
74,056,Mankey,FIGHTING,,305,40,80,35,35,45,70,Field,,Medium-Fast,5,9,3,10,9,5,5,6,3d4,3
75,057,Primeape,FIGHTING,,455,65,105,60,60,70,95,Field,,Medium-Fast,5,14,4,14,12,9,8,9,3d4,5
76,058,Growlithe,FIRE,,350,55,70,45,70,50,60,Field,,Slow,-10,12,3,9,8,6,9,7,3d4,3
77,058,Growlithe-Hisuian-Growlithe,FIRE,ROCK,350,60,75,45,65,50,55,Field,,Slow,-10,13,4,10,7,6,9,7,3d4,3
78,059,Arcanine,FIRE,,555,90,110,80,100,80,95,Field,,Slow,-10,19,5,14,12,10,13,10,3d4,6
79,059,Arcanine-Hisuian-Arcanine,FIRE,ROCK,555,95,115,80,95,80,90,Field,,Slow,-10,20,5,15,12,10,12,10,3d4,6
80,060,Poliwag,WATER,,300,40,50,40,40,40,90,Water-1,,Medium-Slow,-5,9,3,7,12,5,5,5,3d4,3
81,061,Poliwhirl,WATER,,385,65,65,65,50,50,90,Water-1,,Medium-Slow,-5,14,4,9,12,8,7,7,3d4,4
82,062,Poliwrath,WATER,FIGHTING,510,90,95,95,70,90,70,Water-1,,Medium-Slow,-5,19,5,12,9,12,9,12,3d4,7
83,063,Abra,PSYCHIC,,310,25,20,15,105,55,90,Human-Like,,Medium-Slow,-5,6,2,3,12,5,14,7,3d4,2
84,064,Kadabra,PSYCHIC,,400,40,35,30,120,70,105,Human-Like,,Medium-Slow,-5,9,3,5,14,7,15,9,3d4,4
85,065,Alakazam,PSYCHIC,,500,55,50,45,135,95,120,Human-Like,,Medium-Slow,-5,12,3,7,15,9,17,12,3d4,5
86,065,Mega-Alakazam,PSYCHIC,,600,55,50,65,175,105,150,Human-Like,,Medium-Slow,-5,12,3,7,19,11,22,14,3d4,6
87,066,Machop,FIGHTING,,305,70,80,50,35,35,35,Human-Like,,Medium-Slow,-5,15,4,10,5,6,5,5,3d4,3
88,067,Machoke,FIGHTING,,405,80,100,70,50,60,45,Human-Like,,Medium-Slow,-5,17,5,13,6,9,7,8,3d4,5
89,068,Machamp,FIGHTING,,505,90,130,80,65,85,55,Human-Like,,Medium-Slow,-5,19,5,17,7,11,9,11,3d4,6
90,069,Bellsprout,GRASS,POISON,300,50,75,35,70,30,40,Grass,,Medium-Slow,-5,11,3,10,5,5,9,4,3d4,2
91,070,Weepinbell,GRASS,POISON,390,65,90,50,85,45,55,Grass,,Medium-Slow,-5,14,4,12,7,6,11,6,3d4,3
92,071,Victreebel,GRASS,POISON,490,80,105,65,100,70,70,Grass,,Medium-Slow,-5,17,5,14,9,9,13,9,3d4,5
93,072,Tentacool,WATER,POISON,335,40,40,35,50,100,70,Water-3,,Slow,-10,9,3,5,9,9,7,13,3d4,5
94,073,Tentacruel,WATER,POISON,515,80,70,65,80,120,100,Water-3,,Slow,-10,17,5,9,13,12,10,15,3d4,7
95,074,Geodude,ROCK,GROUND,300,40,80,100,30,30,20,Mineral,,Medium-Slow,-5,9,3,10,3,9,4,4,3d4,5
96,074,Alolan-Geodude,ROCK,ELECTRIC,300,40,80,100,30,30,20,Mineral,,Medium-Slow,-5,9,3,10,3,9,4,4,3d4,5
97,075,Graveler,ROCK,GROUND,390,55,95,115,45,45,35,Mineral,,Medium-Slow,-5,12,3,12,5,10,6,6,3d4,6
98,075,Alolan-Graveler,ROCK,ELECTRIC,390,55,95,115,45,45,35,Mineral,,Medium-Slow,-5,12,3,12,5,10,6,6,3d4,6
99,076,Golem,ROCK,GROUND,495,80,120,130,55,65,45,Mineral,,Medium-Slow,-5,17,5,15,6,13,7,9,3d4,7
100,076,Alolan-Golem,ROCK,ELECTRIC,495,80,120,130,55,65,45,Mineral,,Medium-Slow,-5,17,5,15,6,13,7,9,3d4,7
101,077,Ponyta,FIRE,,410,50,85,55,65,65,90,Field,,Medium-Fast,5,11,3,11,12,8,9,9,3d4,4
102,077,Galarian-Ponyta,PSYCHIC,,410,50,85,55,65,65,90,Field,,Medium-Fast,5,11,3,11,12,8,9,9,3d4,4
103,078,Rapidash,FIRE,,500,65,100,70,80,80,105,Field,,Medium-Fast,5,14,4,13,14,10,10,10,3d4,6
104,078,Galarian-Rapidash,PSYCHIC,FAIRY,500,65,100,70,80,80,105,Field,,Medium-Fast,5,14,4,13,14,10,10,10,3d4,6
105,079,Slowpoke,WATER,PSYCHIC,315,90,65,65,40,40,15,Monster,Water-1,Medium-Fast,5,19,5,9,2,7,5,5,3d4,4
106,079,Galarian-Slowpoke,PSYCHIC,,315,90,65,65,40,40,15,Monster,Water-1,Medium-Fast,5,19,5,9,2,7,5,5,3d4,4
107,080,Slowbro,WATER,PSYCHIC,490,95,75,110,100,80,30,Monster,Water-1,Medium-Fast,5,20,5,10,4,12,13,10,3d4,7
108,080,Mega-Slowbro,WATER,PSYCHIC,590,95,75,180,130,80,30,Monster,Water-1,Medium-Fast,5,20,5,10,4,17,17,10,3d4,10
109,080,Galarian-Slowbro,POISON,PSYCHIC,490,95,100,95,100,70,30,Monster,Water-1,Medium-Fast,5,20,5,13,4,11,13,9,3d4,6
110,081,Magnemite,ELECTRIC,STEEL,325,25,35,70,95,55,45,Mineral,,Medium-Fast,5,6,2,5,6,8,12,7,3d4,5
111,082,Magneton,ELECTRIC,STEEL,465,50,60,95,120,70,70,Mineral,,Medium-Fast,5,11,3,8,9,11,15,9,3d4,6
112,083,Farfetch'd,NORMAL,FLYING,377,52,90,55,58,62,60,Flying,Field,Medium-Fast,5,11,3,12,8,8,8,8,3d4,4
113,083,Galarian-Farfetch'd,FIGHTING,,377,52,95,55,58,62,55,Flying,Field,Medium-Fast,5,11,3,12,7,8,8,8,3d4,4
114,084,Doduo,NORMAL,FLYING,310,35,85,45,35,35,75,Flying,,Medium-Fast,5,8,2,11,10,5,5,5,3d4,3
115,085,Dodrio,NORMAL,FLYING,470,60,110,70,60,60,110,Flying,,Medium-Fast,5,13,4,14,14,9,8,8,3d4,5
116,086,Seel,WATER,,325,65,45,55,45,70,45,Water-1,Field,Medium-Fast,5,14,4,6,6,8,6,9,3d4,5
117,087,Dewgong,WATER,ICE,475,90,70,80,70,95,70,Water-1,Field,Medium-Fast,5,19,5,9,9,11,9,12,3d4,7
118,088,Grimer,POISON,,325,80,80,50,40,50,25,Amorphous,,Medium-Fast,5,17,5,10,4,7,5,7,3d4,4
119,088,Alolan-Grimer,POISON,DARK,325,80,80,50,40,50,25,Amorphous,,Medium-Fast,5,17,5,10,4,7,5,7,3d4,4
120,089,Muk,POISON,,500,105,105,75,65,100,50,Amorphous,,Medium-Fast,5,22,6,14,7,11,9,13,3d4,7
121,089,Alolan-Muk,POISON,DARK,500,105,105,75,65,100,50,Amorphous,,Medium-Fast,5,22,6,14,7,11,9,13,3d4,7
122,090,Shellder,WATER,,305,30,65,100,45,25,40,Water-3,,Slow,-10,7,2,9,5,8,6,4,3d4,5
123,091,Cloyster,WATER,ICE,525,50,95,180,85,45,70,Water-3,,Slow,-10,11,3,12,9,15,11,6,3d4,9
124,092,Gastly,GHOST,POISON,310,30,35,30,100,35,80,Amorphous,,Medium-Slow,-5,7,2,5,10,5,13,5,3d4,2
125,093,Haunter,GHOST,POISON,405,45,50,45,115,55,95,Amorphous,,Medium-Slow,-5,10,3,7,12,7,15,7,3d4,4
126,094,Gengar,GHOST,POISON,500,60,65,60,130,75,110,Amorphous,,Medium-Slow,-5,13,4,9,14,9,17,10,3d4,5
127,094,Mega-Gengar,GHOST,POISON,600,60,65,80,170,95,130,Amorphous,,Medium-Slow,-5,13,4,9,17,11,22,12,3d4,7
128,095,Onix,ROCK,GROUND,385,35,45,160,30,45,70,Mineral,,Medium-Fast,5,8,2,6,9,13,4,6,3d4,8
129,096,Drowzee,PSYCHIC,,328,60,48,45,43,90,42,Human-Like,,Medium-Fast,5,13,4,6,6,9,6,12,3d4,5
130,097,Hypno,PSYCHIC,,483,85,73,70,73,115,67,Human-Like,,Medium-Fast,5,18,5,10,9,12,10,15,3d4,7
131,098,Krabby,WATER,,325,30,105,90,25,25,50,Water-3,,Medium-Fast,5,7,2,14,7,8,4,4,3d4,4
132,099,Kingler,WATER,,475,55,130,115,50,50,75,Water-3,,Medium-Fast,5,12,3,17,10,11,7,7,3d4,6
133,100,Voltorb,ELECTRIC,,330,40,30,50,55,55,100,Mineral,,Medium-Fast,5,9,3,4,13,7,7,7,3d4,4
134,100,Voltorb-Hisuian-Voltorb,ELECTRIC,GRASS,330,40,30,50,55,55,100,Mineral,,Medium-Fast,5,9,3,4,13,7,7,7,3d4,4
135,101,Electrode,ELECTRIC,,490,60,50,70,80,80,150,Mineral,,Medium-Fast,5,13,4,7,19,10,10,10,3d4,6
136,101,Electrode-Hisuian-Electrode,ELECTRIC,GRASS,490,60,50,70,80,80,150,Mineral,,Medium-Fast,5,13,4,7,19,10,10,10,3d4,6
137,102,Exeggcute,GRASS,PSYCHIC,325,60,40,80,60,45,40,Grass,,Slow,-10,13,4,5,5,8,8,6,3d4,5
138,103,Exeggutor,GRASS,PSYCHIC,530,95,95,85,125,75,55,Grass,,Slow,-10,20,5,12,7,10,16,10,3d4,6
139,103,Alolan-Exeggutor,GRASS,DRAGON,530,95,105,85,125,75,45,Grass,,Slow,-10,20,5,14,6,10,16,10,3d4,6
140,104,Cubone,GROUND,,320,50,50,95,40,50,35,Monster,,Medium-Fast,5,11,3,7,5,10,5,7,3d4,5
141,105,Marowak,GROUND,,425,60,80,110,50,80,45,Monster,,Medium-Fast,5,13,4,10,6,12,7,10,3d4,7
142,105,Alolan-Marowak,FIRE,GHOST,425,60,80,110,50,80,45,Monster,,Medium-Fast,5,13,4,10,6,12,7,10,3d4,7
143,106,Hitmonlee,FIGHTING,,455,50,120,53,35,110,87,Human-Like,,Medium-Fast,5,11,3,15,11,11,5,14,3d4,6
144,107,Hitmonchan,FIGHTING,,455,50,105,79,35,110,76,Human-Like,,Medium-Fast,5,11,3,14,10,12,5,14,3d4,7
145,108,Lickitung,NORMAL,,385,90,55,75,60,75,30,Monster,,Medium-Fast,5,19,5,7,4,10,8,10,3d4,6
146,109,Koffing,POISON,,340,40,65,95,60,45,35,Amorphous,,Medium-Fast,5,9,3,9,5,9,8,6,3d4,5
147,110,Weezing,POISON,,490,65,90,120,85,70,60,Amorphous,,Medium-Fast,5,14,4,12,8,12,11,9,3d4,7
148,110,Galarian-Weezing,POISON,FAIRY,490,65,90,120,85,70,60,Amorphous,,Medium-Fast,5,14,4,12,8,12,11,9,3d4,7
149,111,Rhyhorn,GROUND,ROCK,345,80,85,95,30,30,25,Monster,Field,Slow,-10,17,5,11,4,8,4,4,3d4,5
150,112,Rhydon,GROUND,ROCK,485,105,130,120,45,45,40,Monster,Field,Slow,-10,22,6,17,5,11,6,6,3d4,6
151,113,Chansey,NORMAL,,450,250,5,5,35,105,50,Fairy,,Fast,10,51,13,1,7,7,5,14,3d4,4
152,114,Tangela,GRASS,,435,65,55,115,100,40,60,Grass,,Medium-Fast,5,14,4,7,8,10,13,5,3d4,6
153,115,Kangaskhan,NORMAL,,490,105,95,80,40,80,90,Monster,,Medium-Fast,5,22,6,12,12,10,5,10,3d4,6
154,115,Mega-Kangaskhan,NORMAL,,590,105,125,100,60,100,100,Monster,,Medium-Fast,5,22,6,16,13,13,8,13,3d4,8
155,116,Horsea,WATER,,295,30,40,70,70,25,60,Water-1,Dragon,Medium-Fast,5,7,2,5,8,6,9,4,3d4,3
156,117,Seadra,WATER,,440,55,65,95,95,45,85,Water-1,Dragon,Medium-Fast,5,12,3,9,11,9,12,6,3d4,5
157,118,Goldeen,WATER,,320,45,67,60,35,50,63,Water-2,,Medium-Fast,5,10,3,9,8,7,5,7,3d4,4
158,119,Seaking,WATER,,450,80,92,65,65,80,68,Water-2,,Medium-Fast,5,17,5,12,9,10,9,10,3d4,5
159,120,Staryu,WATER,,340,30,45,55,70,55,85,Water-3,,Slow,-10,7,2,6,11,7,9,7,3d4,4
160,121,Starmie,WATER,PSYCHIC,520,60,75,85,100,85,115,Water-3,,Slow,-10,13,4,10,15,11,13,11,3d4,6
161,122,Mr.-Mime,PSYCHIC,FAIRY,460,40,45,65,100,120,90,Human-Like,,Medium-Fast,5,9,3,6,12,12,13,15,3d4,7
162,122,Galarian-Mr.-Mime,ICE,PSYCHIC,460,50,65,65,90,90,100,Human-Like,,Medium-Fast,5,11,3,9,13,10,12,12,3d4,6
163,123,Scyther,BUG,FLYING,500,70,110,80,55,80,105,Bug,,Medium-Fast,5,15,4,14,14,10,7,10,3d4,6
164,124,Jynx,ICE,PSYCHIC,455,65,50,35,115,95,95,Human-Like,,Medium-Fast,5,14,4,7,12,9,15,12,3d4,5
165,125,Electabuzz,ELECTRIC,,490,65,83,57,95,85,105,Human-Like,,Medium-Fast,5,14,4,11,14,9,12,11,3d4,5
166,126,Magmar,FIRE,,495,65,95,57,100,85,93,Human-Like,,Medium-Fast,5,14,4,12,12,9,13,11,3d4,5
167,127,Pinsir,BUG,,500,65,125,100,55,70,85,Bug,,Slow,-10,14,4,16,11,11,7,9,3d4,6
168,127,Mega-Pinsir,BUG,FLYING,600,65,155,120,65,90,105,Bug,,Slow,-10,14,4,20,14,14,9,12,3d4,8
169,128,Tauros,NORMAL,,490,75,100,95,40,70,110,Field,,Slow,-10,16,4,13,14,11,5,9,3d4,6
170,129,Magikarp,WATER,,200,20,10,55,15,20,80,Water-2,Dragon,Slow,-10,5,2,2,10,5,2,3,3d4,3
171,130,Gyarados,WATER,FLYING,540,95,125,79,60,100,81,Water-2,Dragon,Slow,-10,20,5,16,11,12,8,13,3d4,7
172,130,Mega-Gyarados,WATER,DARK,640,95,155,109,70,130,81,Water-2,Dragon,Slow,-10,20,5,20,11,15,9,17,3d4,9
173,131,Lapras,WATER,ICE,535,130,85,80,85,95,60,Monster,Water-1,Slow,-10,27,7,11,8,11,11,12,3d4,7
174,132,Ditto,NORMAL,,288,48,48,48,48,48,48,Ditto,,Medium-Fast,5,10,3,6,6,6,6,6,3d4,3
175,133,Eevee,NORMAL,,325,55,55,50,45,65,55,Field,,Medium-Fast,5,12,3,7,7,8,6,9,3d4,4
176,133,Eevee-Partner-Eevee,NORMAL,,435,65,75,70,65,85,75,Field,,Medium-Fast,5,14,4,10,10,10,9,11,3d4,6
177,134,Vaporeon,WATER,,525,130,65,60,110,95,65,Field,,Medium-Fast,5,27,7,9,9,10,14,12,3d4,6
178,135,Jolteon,ELECTRIC,,525,65,65,60,110,95,130,Field,,Medium-Fast,5,14,4,9,17,10,14,12,3d4,6
179,136,Flareon,FIRE,,525,65,130,60,95,110,65,Field,,Medium-Fast,5,14,4,17,9,11,12,14,3d4,6
180,137,Porygon,NORMAL,,395,65,60,70,85,75,40,Mineral,,Medium-Fast,5,14,4,8,5,10,11,10,3d4,5
181,138,Omanyte,ROCK,WATER,355,35,40,100,90,55,35,Water-1,Water-3,Medium-Fast,5,8,2,5,5,10,12,7,3d4,6
182,139,Omastar,ROCK,WATER,495,70,60,125,115,70,55,Water-1,Water-3,Medium-Fast,5,15,4,8,7,13,15,9,3d4,7
183,140,Kabuto,ROCK,WATER,355,30,80,90,55,45,55,Water-1,Water-3,Medium-Fast,5,7,2,10,7,9,7,6,3d4,5
184,141,Kabutops,ROCK,WATER,495,60,115,105,65,70,80,Water-1,Water-3,Medium-Fast,5,13,4,15,10,11,9,9,3d4,7
185,142,Aerodactyl,ROCK,FLYING,515,80,105,65,60,75,130,Flying,,Slow,-10,17,5,14,17,9,8,10,3d4,5
186,142,Mega-Aerodactyl,ROCK,FLYING,615,80,135,85,70,95,150,Flying,,Slow,-10,17,5,17,19,12,9,12,3d4,7
187,143,Snorlax,NORMAL,,540,160,110,65,65,110,30,Monster,,Slow,-10,33,9,14,4,11,9,14,3d4,7
188,144,Articuno,ICE,FLYING,580,90,85,100,95,125,85,No-Eggs-Discovered,,Slow,-10,19,5,11,11,15,12,16,3d4,9
189,144,Galarian-Articuno,PSYCHIC,FLYING,580,90,85,85,125,100,95,No-Eggs-Discovered,,Slow,-10,19,5,11,12,12,16,13,3d4,7
190,145,Zapdos,ELECTRIC,FLYING,580,90,90,85,125,90,100,No-Eggs-Discovered,,Slow,-10,19,5,12,13,11,16,12,3d4,7
191,145,Galarian-Zapdos,FIGHTING,FLYING,580,90,125,90,85,90,100,No-Eggs-Discovered,,Slow,-10,19,5,16,13,12,11,12,3d4,7
192,146,Moltres,FIRE,FLYING,580,90,100,90,125,85,90,No-Eggs-Discovered,,Slow,-10,19,5,13,12,11,16,11,3d4,7
193,146,Galarian-Moltres,DARK,FLYING,580,90,85,90,100,125,90,No-Eggs-Discovered,,Slow,-10,19,5,11,12,14,13,16,3d4,8
194,147,Dratini,DRAGON,,300,41,64,45,50,50,50,Water-1,Dragon,Slow,-10,9,3,8,7,6,7,7,3d4,3
195,148,Dragonair,DRAGON,,420,61,84,65,70,70,70,Water-1,Dragon,Slow,-10,13,4,11,9,9,9,9,3d4,5
196,149,Dragonite,DRAGON,FLYING,600,91,134,95,100,100,80,Water-1,Dragon,Slow,-10,19,5,17,10,13,13,13,3d4,7
